College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
BANKURA SAMMILANI MED COLL,MBBS,OBC,,11840,11964,13158,13158
BANKURA SAMMILANI MED COLL,MBBS,OBC PWD,,,,777299,777299
BANKURA SAMMILANI MED COLL,MBBS,SC,56623,50664,66312,68315,68315
BANKURA SAMMILANI MED COLL,MBBS,ST,89605,91707,110550,116228,116228
BELGAUM INST. OF MEDICAL SCI.,MBBS,EWS,,9693,12647,12298,12298
BELGAUM INST. OF MEDICAL SCI.,MBBS,EWS PWD,,524133,,,
BELGAUM INST. OF MEDICAL SCI.,MBBS,GN,8074,8133,6873,5855,5855
BELGAUM INST. OF MEDICAL SCI.,MBBS,GN PWD,,179203,,,
BELGAUM INST. OF MEDICAL SCI.,MBBS,OBC,,9487,11163,9572,9572
BELGAUM INST. OF MEDICAL SCI.,MBBS,OBC PWD,,,542000,,
BELGAUM INST. OF MEDICAL SCI.,MBBS,SC,48903,66760,61262,62944,62944
BELGAUM INST. OF MEDICAL SCI.,MBBS,ST,69297,58857,75388,71044,71044
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,EWS,,,846986,918428,918428
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,GN,,767936,878306,1060578,1060578
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,OBC,,914957,947170,1062838,1062838
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,SC,,494221,942164,1055241,1055241
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,ST,,753623,,1020215,1020215
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,EWS,,13594,15927,15494,15494
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,GN,9569,11838,12545,12991,12991
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,GN PWD,224183,,,559326,559326
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,OBC,,13049,14220,14056,14056
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,OBC PWD,,,541992,,
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,SC,59467,69380,77300,91192,91192
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,SC PWD,,816559,,,
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,ST,60685,73449,78501,91639,91639
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,ST PWD,,812935,,,
BPS Govt. Med. College,MBBS,EWS,,9078,11697,11495,11495
BPS Govt. Med. College,MBBS,GN,5633,8096,8780,8396,8396
BPS Govt. Med. College,MBBS,GN PWD,348929,,,386312,386312
BPS Govt. Med. College,MBBS,OBC,,10596,11568,12096,12096
BPS Govt. Med. College,MBBS,OBC PWD,,508856,,487275,487275
BPS Govt. Med. College,MBBS,SC,37278,54540,60289,65785,65785
BPS Govt. Med. College,MBBS,ST,70275,86224,95673,70131,70131
BUNDELKHAND MEDICAL COLLEGE,MBBS,EWS,,8465,10774,11643,11643
BUNDELKHAND MEDICAL COLLEGE,MBBS,GN,8485,7971,8569,8986,8986
BUNDELKHAND MEDICAL COLLEGE,MBBS,OBC,,9309,10289,10284,10284
BUNDELKHAND MEDICAL COLLEGE,MBBS,OBC PWD,,,,818616,818616
BUNDELKHAND MEDICAL COLLEGE,MBBS,SC,51506,57015,60072,65432,65432
BUNDELKHAND MEDICAL COLLEGE,MBBS,SC PWD,598673,,,,
BUNDELKHAND MEDICAL COLLEGE,MBBS,ST,73479,78560,82335,94202,94202
BURDWAN MEDICAL COLLEGE,MBBS,EWS,,9558,10481,11462,11462
BURDWAN MEDICAL COLLEGE,MBBS,EWS PWD,,,,960054,960054
BURDWAN MEDICAL COLLEGE,MBBS,GN,9084,6990,7668,9457,9457
BURDWAN MEDICAL COLLEGE,MBBS,GN PWD,360364,,211226,588038,588038
BURDWAN MEDICAL COLLEGE,MBBS,OBC,,9000,9714,11037,11037
BURDWAN MEDICAL COLLEGE,MBBS,OBC PWD,,351843,,,
BURDWAN MEDICAL COLLEGE,MBBS,SC,46832,46519,58882,54589,54589
BURDWAN MEDICAL COLLEGE,MBBS,SC PWD,,459613,,973680,973680
BURDWAN MEDICAL COLLEGE,MBBS,ST,83073,86666,107483,106003,106003
BV Deemed Uni. Med. College and Hos.,MBBS,EWS,,368170,547205,1049727,1049727
BV Deemed Uni. Med. College and Hos.,MBBS,GN,305408,384097,841396,1141824,1141824
BV Deemed Uni. Med. College and Hos.,MBBS,OBC,,381196,790485,1149938,1149938
BV Deemed Uni. Med. College and Hos.,MBBS,SC,,329952,404037,505837,505837
BVDU Dental College and Hospital,BDS,EWS,,536254,645653,948213,948213
BVDU Dental College and Hospital,BDS,GN,800834,743392,858003,990080,990080
BVDU Dental College and Hospital,BDS,OBC,,767538,913962,988003,988003
BVDU Dental College and Hospital,BDS,SC,,772869,983872,988870,988870
BVDU Dental College and Hospital,BDS,ST,,763689,,,
Bangalore Medical College and Research Institute,MBBS,EWS,,3272,3357,4427,4427
Bangalore Medical College and Research Institute,MBBS,GN,,957,1138,1345,1345
Bangalore Medical College and Research Institute,MBBS,GN PWD,,,139982,160552,160552
Bangalore Medical College and Research Institute,MBBS,OBC,,2601,2741,3371,3371
Bangalore Medical College and Research Institute,MBBS,OBC PWD,,149710,,332797,332797
Bangalore Medical College and Research Institute,MBBS,SC,,18646,27201,23453,23453
Bangalore Medical College and Research Institute,MBBS,ST,,20940,11984,30135,30135
Barasat Government Medical College & Hospital,MBBS,EWS,,,14532,16331,16331
Barasat Government Medical College & Hospital,MBBS,GN,,,12136,12940,12940
Barasat Government Medical College & Hospital,MBBS,GN PWD,,,,509938,509938
Barasat Government Medical College & Hospital,MBBS,OBC,,,15322,16359,16359
Barasat Government Medical College & Hospital,MBBS,SC,,,66945,59487,59487
Barasat Government Medical College & Hospital,MBBS,ST,,,121278,119314,119314
Bharati Vidyapeeth DU Dental College and Hospt.,BDS,EWS,,510362,564928,706474,706474
Bharati Vidyapeeth DU Dental College and Hospt.,BDS,GN,530134,560464,849857,992657,992657
Bharati Vidyapeeth DU Dental College and Hospt.,BDS,OBC,,532758,569959,752017,752017
Bharati Vidyapeeth DU Dental College and Hospt.,BDS,SC,,551058,661099,1111241,1111241
Bharati Vidyapeeth DU Dental College and Hospt.,BDS,ST,,410115,508831,,
Bharati Vidyapeeth DU Medical College,MBBS,EWS,,217712,257945,266891,266891
Bharati Vidyapeeth DU Medical College,MBBS,GN,617895,227051,841884,941191,941191
Bharati Vidyapeeth DU Medical College,MBBS,OBC,,226561,792021,791851,791851
Bharati Vidyapeeth DU Medical College,MBBS,SC,,222505,257162,575786,575786
Bhima Bhoi Medical College and Hospital,MBBS,EWS,,13964,16381,17619,17619
Bhima Bhoi Medical College and Hospital,MBBS,GN,,12054,13287,15643,15643
Bhima Bhoi Medical College and Hospital,MBBS,OBC,,12979,14919,16902,16902
Bhima Bhoi Medical College and Hospital,MBBS,OBC PWD,,,986928,,
Bhima Bhoi Medical College and Hospital,MBBS,SC,,57790,76595,69504,69504
Bhima Bhoi Medical College and Hospital,MBBS,ST,,75903,117007,115438,115438
Bowring lady Curzon Medical College Reserch Institute,MBBS,GN,6459,,,,
Bowring lady Curzon Medical College Reserch Institute,MBBS,GN PWD,319970,,,,
Bowring lady Curzon Medical College Reserch Institute,MBBS,SC,39016,,,,
Bowring lady Curzon Medical College Reserch Institute,MBBS,SC PWD,490719,,,,
Bowring lady Curzon Medical College Reserch Institute,MBBS,ST,74736,,,,
Burdwan Dental College & Hospital,BDS,EWS,,21915,31732,31149,31149
Burdwan Dental College & Hospital,BDS,GN,14174,18367,29258,,
Burdwan Dental College & Hospital,BDS,GN PWD,486918,,,,
