"College","Course","Category","Predicted_Rank_2025"
"CHENGALPATTU MEDICAL COLL","MBBS","ST",89758.475
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES","MBBS","EWS",14208.91
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES","MBBS","EWS PWD",935865.965
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES","MBBS","GN",8462.63
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES","MBBS","OBC",10172.91
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES","MBBS","SC",55675.91
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES","MBBS","SC PWD",1076282.825
"CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES","MBBS","ST PWD",824953.055
"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES","MBBS","EWS",18826.575
"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES","MBBS","GN",10986.77
"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES","MBBS","OBC",14212.27
"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES","MBBS","OBC PWD",816699.055
"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES","MBBS","SC",79520.345
"CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES","MBBS","ST",101510.205
"COIMBATORE MEDICAL COLLEGE","MBBS","EWS",14103.55
"COIMBATORE MEDICAL COLLEGE","MBBS","GN",4372.485
"COIMBATORE MEDICAL COLLEGE","MBBS","OBC",6123.69
"COIMBATORE MEDICAL COLLEGE","MBBS","SC",47741.28
"COIMBATORE MEDICAL COLLEGE","MBBS","SC PWD",919113.97
"COIMBATORE MEDICAL COLLEGE","MBBS","ST",110633.565
"COLLEGE OF MEDICINE and JNM HOSPITAL","MBBS","EWS",17378.76
"COLLEGE OF MEDICINE and JNM HOSPITAL","MBBS","EWS PWD",913032.8
"COLLEGE OF MEDICINE and JNM HOSPITAL","MBBS","GN",12761.165
"COLLEGE OF MEDICINE and JNM HOSPITAL","MBBS","OBC",13942.545
"COLLEGE OF MEDICINE and JNM HOSPITAL","MBBS","SC",67554.095
"COLLEGE OF MEDICINE and JNM HOSPITAL","MBBS","ST",112390.385
"Chandulal Chandrakar Memorial Government Medical College","MBBS","EWS",45242.44
"Chandulal Chandrakar Memorial Government Medical College","MBBS","EWS PWD",1043560.535
