College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
ASSAM MEDICAL COLLEGE,MBBS,ST,68875.0,90090.0,101454.0,92051.0,92051.0
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,EWS,,9311.0,11792.0,11489.0,11489.0
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,GN,9343.0,8805.0,8937.0,6894.0,6894.0
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,GN PWD,288993.0,,,435530.0,435530.0
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,OBC,,10663.0,11249.0,10088.0,10088.0
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,OBC PWD,,351119.0,823828.0,,
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,SC,55732.0,60802.0,65022.0,64119.0,64119.0
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,ST,73951.0,78590.0,83713.0,66562.0,66562.0
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,ST PWD,442424.0,,,,
Aarupadai Veedu Medical College and Hospt.,MBBS,EWS,,578821.0,760489.0,986104.0,986104.0
Aarupadai Veedu Medical College and Hospt.,MBBS,GN,608167.0,681707.0,764950.0,1034896.0,1034896.0
Aarupadai Veedu Medical College and Hospt.,MBBS,OBC,,678935.0,754287.0,1035938.0,1035938.0
Aarupadai Veedu Medical College and Hospt.,MBBS,SC,,677740.0,740343.0,1033267.0,1033267.0
Aarupadai Veedu Medical College and Hospt.,MBBS,ST,,,726036.0,1015597.0,1015597.0
Amrita Institute of Medical Science,MBBS,EWS,,108077.0,95544.0,,
Amrita Institute of Medical Science,MBBS,GN,455072.0,720381.0,821978.0,1044974.0,1044974.0
Amrita Institute of Medical Science,MBBS,OBC,,822161.0,769217.0,269345.0,269345.0
Amrita Institute of Medical Science,MBBS,SC,,,144855.0,206265.0,206265.0
Amrita Institute of Medical Science,MBBS,ST,,,,528896.0,528896.0
Amrita School of Dentistry,BDS,EWS,,345207.0,,654321.0,654321.0
Amrita School of Dentistry,BDS,GN,640423.0,717066.0,851229.0,719816.0,719816.0
Amrita School of Dentistry,BDS,OBC,,793217.0,908404.0,714017.0,714017.0
Amrita School of Dentistry,BDS,SC,,,252127.0,462034.0,462034.0
Amrita School of Dentistry,BDS,ST,,,493671.0,,
Amrita School of Medicine Faridabad,MBBS,EWS,,,,136923.0,136923.0
Amrita School of Medicine Faridabad,MBBS,GN,,,,1138051.0,1138051.0
Amrita School of Medicine Faridabad,MBBS,GN PWD,,,,234346.0,234346.0
Amrita School of Medicine Faridabad,MBBS,OBC,,,,1389425.0,1389425.0
Amrita School of Medicine Faridabad,MBBS,ST,,,,182127.0,182127.0
Andaman and Nicobar Islands Institute of Medical S,MBBS,EWS,,14000.0,14169.0,21479.0,21479.0
Andaman and Nicobar Islands Institute of Medical S,MBBS,GN,12133.0,12745.0,9043.0,15675.0,15675.0
Andaman and Nicobar Islands Institute of Medical S,MBBS,GN PWD,421773.0,,698832.0,,
Andaman and Nicobar Islands Institute of Medical S,MBBS,OBC,,14065.0,16535.0,17362.0,17362.0
Andaman and Nicobar Islands Institute of Medical S,MBBS,OBC PWD,,,,864414.0,864414.0
Andaman and Nicobar Islands Institute of Medical S,MBBS,SC,68520.0,69643.0,76379.0,89626.0,89626.0
Andaman and Nicobar Islands Institute of Medical S,MBBS,ST,77362.0,92413.0,94360.0,99902.0,99902.0
Andhra Medical College,MBBS,EWS,,6510.0,6736.0,8216.0,8216.0
Andhra Medical College,MBBS,EWS PWD,,,579115.0,,
Andhra Medical College,MBBS,GN,4459.0,4941.0,5071.0,3846.0,3846.0
Andhra Medical College,MBBS,GN PWD,155006.0,289580.0,,239246.0,239246.0
Andhra Medical College,MBBS,OBC,,6696.0,7565.0,6372.0,6372.0
Andhra Medical College,MBBS,OBC PWD,,489419.0,502728.0,537197.0,537197.0
Andhra Medical College,MBBS,SC,29476.0,48517.0,44708.0,39830.0,39830.0
Andhra Medical College,MBBS,SC PWD,588970.0,,908078.0,687949.0,687949.0
Andhra Medical College,MBBS,ST,46634.0,58221.0,69819.0,74085.0,74085.0
Andhra Medical College,MBBS,ST PWD,500187.0,,513614.0,,
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,EWS,7237.0,5139.0,5797.0,5971.0,5971.0
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,GN,4437.0,27583.0,839489.0,286497.0,286497.0
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,GN PWD,714255.0,682338.0,653347.0,568064.0,568064.0
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,OBC,12638.0,23726.0,28949.0,646161.0,646161.0
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,SC,52218.0,45096.0,166443.0,49180.0,49180.0
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,ST,158475.0,182681.0,182050.0,168904.0,168904.0
Autonomous State Medical Collage,MBBS,EWS,,,,15225.0,15225.0
Autonomous State Medical Collage,MBBS,GN,,,,12394.0,12394.0
Autonomous State Medical Collage,MBBS,OBC,,,,14430.0,14430.0
Autonomous State Medical Collage,MBBS,SC,,,,83287.0,83287.0
Autonomous State Medical Collage,MBBS,ST,,,,108139.0,108139.0
Autonomous State Medical College,MBBS,EWS,,11101.0,13035.0,12716.0,12716.0
Autonomous State Medical College,MBBS,EWS PWD,,,509259.0,878113.0,878113.0
Autonomous State Medical College,MBBS,GN,,9676.0,10502.0,11757.0,11757.0
Autonomous State Medical College,MBBS,GN PWD,,315426.0,513570.0,,
Autonomous State Medical College,MBBS,OBC,,11677.0,11567.0,12941.0,12941.0
Autonomous State Medical College,MBBS,OBC PWD,,374892.0,503155.0,489456.0,489456.0
