College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
Bhima Bhoi Medical College and Hospital,MBBS,GN,63604.225,,12054,13287,15643,15643
Bhima Bhoi Medical College and Hospital,MBBS,OBC,78627.345,,12979,14919,16902,16902
Bhima Bhoi Medical College and Hospital,MBBS,SC,194319.79,,57790,76595,69504,69504
Bhima Bhoi Medical College and Hospital,MBBS,ST,112337.85,,75903,117007,115438,115438
Burdwan Dental College & Hospital,BDS,EWS,32653.565,,21915,31732,31149,31149
Burdwan Dental College & Hospital,BDS,OBC,43282.58,,21403,32212,29954,29954
Burdwan Dental College & Hospital,BDS,OBC PWD,1046184.645,,689743,,1267685,1267685
Burdwan Dental College & Hospital,BDS,SC,138842.045,71553,94219,110751,136337,136337
Burdwan Dental College & Hospital,BDS,ST,162577.285,98880,112625,148566,145392,145392
C. Institute of Medical Sciences,MBBS,EWS,16487.65,,14122,16846,20189,20189
C. Institute of Medical Sciences,MBBS,GN,13730.9,,12729,15154,14915,14915
C. Institute of Medical Sciences,MBBS,OBC,15260.71,,13775,16109,16386,16386
C. Institute of Medical Sciences,MBBS,SC,47121.995,,74321,82043,93061,93061
C. Institute of Medical Sciences,MBBS,ST,83151.915,,74336,77697,79530,79530
CALCUTTA NATIONAL MED COLL,MBBS,EWS,11097.045,,6396,7073,8127,8127
CALCUTTA NATIONAL MED COLL,MBBS,GN,6477.135,5554,4991,5519,5852,5852
CALCUTTA NATIONAL MED COLL,MBBS,OBC,8294.425,,6341,7683,7374,7374
CALCUTTA NATIONAL MED COLL,MBBS,OBC PWD,557246.025,,,586341,517654,517654
CALCUTTA NATIONAL MED COLL,MBBS,SC,44632.285,35534,37556,49315,45139,45139
CALCUTTA NATIONAL MED COLL,MBBS,ST,88109.585,64657,77126,88136,90112,90112
CHENGALPATTU MEDICAL COLL,MBBS,EWS,18075.795,,13239,16260,20940,20940
CHENGALPATTU MEDICAL COLL,MBBS,GN,5184.375,6478,6415,7838,4599,4599
CHENGALPATTU MEDICAL COLL,MBBS,GN PWD,587223.67,,,,603910,603910
CHENGALPATTU MEDICAL COLL,MBBS,OBC,7210.81,,7227,9295,6814,6814
CHENGALPATTU MEDICAL COLL,MBBS,SC,39079.955,42321,37863,59310,35159,35159
CHENGALPATTU MEDICAL COLL,MBBS,ST,89758.475,88846,91464,104520,88815,88815
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,MBBS,EWS,14208.91,,,12481,11799,11799
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,MBBS,EWS PWD,935865.965,,,211106,940874,940874
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,MBBS,GN,8462.63,8430,,8897,9020,9020
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,MBBS,OBC,10172.91,,,10322,10697,10697
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,MBBS,SC,55675.91,45846,,60975,57214,57214
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,MBBS,SC PWD,1076282.825,,,,1161920,1161920
CHHATTISGARH INSTITUTE OF MEDICAL SCIENCES,MBBS,ST PWD,824953.055,,,,907579,907579
CHIKKABALLAPURA INSTITUTE OF MEDICAL SCIENCES,MBBS,EWS,18826.575,,,17570,20450,20450
