College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES,MBBS,GN,13073.465,10758,13000,14470,16281,16281
RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES,MBBS,OBC,14495.165,,14449,16154,17066,17066
RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES,MBBS,SC,70136.145,66532,74744,82080,96255,96255
RAJIV GANDHI INSTITUTE OF MEDICAL SCIENCES,MBBS,ST,116975.65,76366,91509,107045,126761,126761
RAJIV GANDHI MEDICAL COLLEGE,MBBS,EWS,8760.21,,7728,7207,6719,6719
RAJIV GANDHI MEDICAL COLLEGE,MBBS,GN,7278.7,4550,5668,5634,5333,5333
RAJIV GANDHI MEDICAL COLLEGE,MBBS,OBC,9208.295,,7097,7940,7689,7689
RAJIV GANDHI MEDICAL COLLEGE,MBBS,SC,54869.795,41733,50463,55487,44445,44445
RAJIV GANDHI MEDICAL COLLEGE,MBBS,ST,96459.73,71470,70946,86977,90442,90442
RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,MBBS,EWS,16161.045,,12693,16145,17184,17184
RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,MBBS,GN,11650.56,12121,12199,13485,15519,15519
RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,MBBS,GN PWD,805543.395,,,,799075,799075
RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,MBBS,OBC,15800.045,,13264,14314,17018,17018
RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,MBBS,SC,59824.485,67321,66915,65621,83103,83103
RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,MBBS,SC PWD,888383.27,,682258,,1102787,1102787
RAMPURHAT GOVT MEDICAL COLLEGE RAMPURHAT,MBBS,ST,111178.28,89526,,117257,131998,131998
REGIONAL DENTAL COLLEGE,BDS,EWS,37601.245,,23785,,38439,38439
REGIONAL DENTAL COLLEGE,BDS,OBC,35295.965,,25846,20534,36165,36165
REGIONAL DENTAL COLLEGE,BDS,SC,139051.58,87908,82220,103892,145571,145571
REGIONAL DENTAL COLLEGE,BDS,ST,167088.335,118584,,,180714,180714
REGIONAL INST OF MEDICAL SCI,MBBS,EWS,19624.775,12325,11938,13626,19784,19784
REGIONAL INST OF MEDICAL SCI,MBBS,GN,12485.885,9415,7986,5944,13316,13316
REGIONAL INST OF MEDICAL SCI,MBBS,GN PWD,891740.785,,446679,,915338,915338
REGIONAL INST OF MEDICAL SCI,MBBS,OBC,15795.19,10576,12617,12452,15375,15375
REGIONAL INST OF MEDICAL SCI,MBBS,SC,51576.735,53091,57335,52433,49134,49134
REGIONAL INST OF MEDICAL SCI,MBBS,ST,100836.79,45495,54373,57259,96444,96444
RIMS,MBBS,EWS,20343.95,,13770,16966,20432,20432
RIMS,MBBS,GN,14137.73,11350,13148,14915,16556,16556
RIMS,MBBS,OBC,16904.895,,14583,16137,17160,17160
RIMS,MBBS,OBC PWD,849702.265,,,,986029,986029
RIMS,MBBS,SC,70524.15,65024,72932,75101,74625,74625
RIMS,MBBS,ST,115112.3,76568,,97207,121030,121030
RIMS Srikakulam,MBBS,EWS,21016.81,,14502,17125,21430,21430
RIMS Srikakulam,MBBS,EWS PWD,765852.065,,,946027,713435,713435
RIMS Srikakulam,MBBS,GN,14391.735,11321,13051,14629,16410,16410
RIMS Srikakulam,MBBS,OBC,17336.71,,14571,16155,17786,17786
RIMS Srikakulam,MBBS,SC,88758.33,67997,73542,78198,93819,93819
RIMS Srikakulam,MBBS,ST,108372.24,83107,97051,107093,106967,106967
RUHS College of Dental Science,BDS,EWS,29990.53,,16720,,28143,28143
RUHS College of Dental Science,BDS,OBC,48761.38,,15685,18940,22122,22122
RUHS College of Dental Science,BDS,OBC PWD,1178770.78,,,,1210547,1210547
RUHS College of Dental Science,BDS,SC,126938.715,62837,73304,51566,110429,110429
RUHS College of Dental Science,BDS,ST,138055.81,,104838,,100767,100767
RUHS College of Medical Sciences,MBBS,EWS,6038.01,,2303,3152,3330,3330
RUHS College of Medical Sciences,MBBS,GN,4886.415,2554,1631,1865,2469,2469
RUHS College of Medical Sciences,MBBS,GN PWD,694699.835,217356,134710,,405839,405839
RUHS College of Medical Sciences,MBBS,OBC,89370.865,,2205,393482,3000,3000
RUHS College of Medical Sciences,MBBS,OBC PWD,636352.88,,,,486895,486895
RUHS College of Medical Sciences,MBBS,SC,50509.81,9004,22169,23452,20996,20996
RUHS College of Medical Sciences,MBBS,ST,39306.235,32716,25681,26875,25705,25705
Raiganj Government Medical College,MBBS,EWS,16203.6,,12874,15157,17506,17506
Raiganj Government Medical College,MBBS,EWS PWD,954916.385,,,,1033883,1033883
Raiganj Government Medical College,MBBS,GN,13612.465,12019,11760,13869,15868,15868
Raiganj Government Medical College,MBBS,OBC,57002.59,,12643,14433,16734,16734
Raiganj Government Medical College,MBBS,SC,88481.25,64607,68739,74065,88012,88012
Raiganj Government Medical College,MBBS,ST,118997.7,92468,98527,,133235,133235
Raja Rajeswari Medical College Bengaluru,MBBS,EWS,192060.805,,392714,324840,302267,302267
Raja Rajeswari Medical College Bengaluru,MBBS,GN,808198.71,607092,715822,687567,1097103,1097103
Raja Rajeswari Medical College Bengaluru,MBBS,OBC,787204.33,,392580,975620,872716,872716
Raja Rajeswari Medical College Bengaluru,MBBS,SC,304097.135,,394536,357236,369160,369160
Rajah Muthiah Dental College and Hos.,BDS,EWS,35614.575,,25465,32513,37364,37364
Rajah Muthiah Dental College and Hos.,BDS,GN,26998.14,20780,24939,24324,25593,25593
Rajah Muthiah Dental College and Hos.,BDS,OBC,47160.57,,26879,29211,33618,33618
Rajah Muthiah Dental College and Hos.,BDS,SC,151635.455,78153,77156,100808,149265,149265
Rajah Muthiah Dental College and Hos.,BDS,ST,192166.855,117009,139581,155238,204329,204329
Rajah Muthiah Medical College,MBBS,EWS,20621.675,,15366,18015,21710,21710
Rajah Muthiah Medical College,MBBS,GN,11013.21,11833,10517,12698,10846,10846
Rajah Muthiah Medical College,MBBS,GN PWD,858517.945,,393906,,902797,902797
Rajah Muthiah Medical College,MBBS,OBC,54101.31,,12003,14403,11703,11703
Rajah Muthiah Medical College,MBBS,SC,95243.015,69669,75985,79832,89288,89288
Rajah Muthiah Medical College,MBBS,ST,121904.66,93437,93093,114241,124137,124137
Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur,MBBS,EWS,14161.97,,10825,12526,13467,13467
Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur,MBBS,GN,10820.87,9708,9085,10409,10491,10491
Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur,MBBS,OBC,54522.765,,11913,11740,12420,12420
Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur,MBBS,SC,78493.38,56251,62012,67479,73231,73231
Rajarshee Chhatrapati Shahu Maharaj Government Medical College Kolhapur,MBBS,ST,112503.53,88543,89218,101683,112840,112840
Rajiv Gandhi Institute Medical Sce of Adilabad,MBBS,EWS,15881.175,,13482,14789,19070,19070
Rajiv Gandhi Institute Medical Sce of Adilabad,MBBS,GN,11866.025,11650,13122,13514,12222,12222
Rajiv Gandhi Institute Medical Sce of Adilabad,MBBS,OBC,55399.25,,13799,14622,13836,13836
Rajiv Gandhi Institute Medical Sce of Adilabad,MBBS,OBC PWD,636351.855,,,,635069,635069
Rajiv Gandhi Institute Medical Sce of Adilabad,MBBS,SC,88420.705,63285,71867,82319,93160,93160
Rajiv Gandhi Institute Medical Sce of Adilabad,MBBS,ST,101781.515,62007,67070,90030,97251,97251
Rajkiya Medical College,MBBS,EWS,13429.97,,9511,10769,12912,12912
Rajkiya Medical College,MBBS,GN,11681.205,9579,9463,9962,10723,10723
Rajkiya Medical College,MBBS,OBC,54204.115,,9882,10514,11822,11822
Rajkiya Medical College,MBBS,OBC PWD,631612.315,,,611354,631927,631927
Rajkiya Medical College,MBBS,SC,74505.315,55264,56432,66670,69260,69260
Rajkiya Medical College,MBBS,ST,98486.42,82652,84355,97396,96867,96867
Rajmata shrimati devendra kumari singhdeo government medical college,MBBS,EWS,15899.31,,,15737,17226,17226
Rajmata shrimati devendra kumari singhdeo government medical college,MBBS,GN,14814.135,,,13704,15544,15544
Rajmata shrimati devendra kumari singhdeo government medical college,MBBS,GN PWD,816893.455,,,,835824,835824
Rajmata shrimati devendra kumari singhdeo government medical college,MBBS,OBC,54258.53,,,15491,17220,17220
Rajmata shrimati devendra kumari singhdeo government medical college,MBBS,SC,86645.66,,,76953,92551,92551
Rajmata shrimati devendra kumari singhdeo government medical college,MBBS,ST,107145.34,,,110686,118459,118459
Rangaraya Medical College,MBBS,EWS,12022.47,,11932,14328,11305,11305
Rangaraya Medical College,MBBS,EWS PWD,523241.735,,,,454524,454524
Rangaraya Medical College,MBBS,GN,8735.985,9338,9473,10422,7874,7874
Rangaraya Medical College,MBBS,OBC,194545.945,,13591,13377,14050,14050
Rangaraya Medical College,MBBS,SC,66536.815,57642,70089,52055,58931,58931
Rangaraya Medical College,MBBS,ST,93107.3,55545,70205,86618,89400,89400
Rani Durgavati Medical College,MBBS,EWS,19460.475,,10494,11726,13092,13092
Rani Durgavati Medical College,MBBS,GN,14727.735,,10071,10556,10445,10445
Rani Durgavati Medical College,MBBS,OBC,222824.665,,10573,10846,11452,11452
Rani Durgavati Medical College,MBBS,SC,76875.355,,60267,67022,74240,74240
Rani Durgavati Medical College,MBBS,SC PWD,578386.13,,,,508675,508675
Rani Durgavati Medical College,MBBS,ST,94116.785,,85720,84119,94711,94711
Rural Dental College,BDS,EWS,809735.555,,725441,725870,839603,839603
Rural Dental College,BDS,GN,820142.665,815862,760555,808714,865053,865053
Rural Dental College,BDS,OBC,869037.695,,923400,825634,871786,871786
Rural Dental College,BDS,SC,846865.74,,523809,764211,868507,868507
Rural Medical College and PIMS,MBBS,EWS,639424.16,,122010,,661795,661795
Rural Medical College and PIMS,MBBS,GN,610255.665,88731,701626,,921078,921078
Rural Medical College and PIMS,MBBS,OBC,1072852.945,,127799,,1260101,1260101
Rural Medical College and PIMS,MBBS,SC,836147.735,,116490,,1225817,1225817
S.C.B. MEDICAL COLL(DENTAL),BDS,EWS,26429.04,,18194,17951,22414,22414
S.C.B. MEDICAL COLL(DENTAL),BDS,GN,23797.285,14364,,,15943,15943
S.C.B. MEDICAL COLL(DENTAL),BDS,OBC,59170.08,,21851,22539,18305,18305
S.C.B. MEDICAL COLL(DENTAL),BDS,ST,181276.85,103419,138185,,180231,180231
S.C.B. MEDICAL COLLEGE,MBBS,EWS,9052.075,,2518,6189,6574,6574
S.C.B. MEDICAL COLLEGE,MBBS,GN,16554.195,2685,1923,2285,3208,3208
S.C.B. MEDICAL COLLEGE,MBBS,GN PWD,352676.515,218120,139431,292475,262150,262150
S.C.B. MEDICAL COLLEGE,MBBS,OBC,35733.605,,3448,4059,4930,4930
S.C.B. MEDICAL COLLEGE,MBBS,SC,35293.625,23104,21404,33752,32058,32058
S.C.B. MEDICAL COLLEGE,MBBS,SC PWD,641509.985,,,,743412,743412
S.C.B. MEDICAL COLLEGE,MBBS,ST,56604.92,65337,75886,83714,60909,60909
S.M.S. MEDICAL COLLEGE,MBBS,EWS,2695.02,,1496,1518,1637,1637
S.M.S. MEDICAL COLLEGE,MBBS,GN,1684.66,1212,718,829,1031,1031
S.M.S. MEDICAL COLLEGE,MBBS,OBC,27290.895,,1554,1440,1520,1520
S.M.S. MEDICAL COLLEGE,MBBS,SC,17928.905,8454,15157,13843,14016,14016
S.M.S. MEDICAL COLLEGE,MBBS,SC PWD,504261.125,,,,416629,416629
S.M.S. MEDICAL COLLEGE,MBBS,ST,28027.36,9253,17507,16234,17958,17958
S.N. MEDICAL COLLEGE,MBBS,EWS,5891.245,,5113,5351,6354,6354
S.N. MEDICAL COLLEGE,MBBS,GN,4037.66,5252,4003,4026,4354,4354
S.N. MEDICAL COLLEGE,MBBS,OBC,30411.965,,5707,6246,5761,5761
S.N. MEDICAL COLLEGE,MBBS,OBC PWD,479168.8,,230974,,418303,418303
S.N. MEDICAL COLLEGE,MBBS,SC,36032.925,39459,38889,45088,38840,38840
S.N. MEDICAL COLLEGE,MBBS,ST,52756.3,57080,54521,74481,60393,60393
S.S. MEDICAL COLLEGE,MBBS,EWS,8519.21,,8331,9551,9139,9139
S.S. MEDICAL COLLEGE,MBBS,GN,10682.8,8870,7548,7576,7920,7920
S.S. MEDICAL COLLEGE,MBBS,GN PWD,619968.285,372443,,,700210,700210
S.S. MEDICAL COLLEGE,MBBS,OBC,21494.32,,9131,9819,9754,9754
S.S. MEDICAL COLLEGE,MBBS,OBC PWD,722609.875,,,895220,785986,785986
S.S. MEDICAL COLLEGE,MBBS,SC,55796.835,57538,56499,59844,62941,62941
S.S. MEDICAL COLLEGE,MBBS,ST,83378.395,70404,73086,87687,91701,91701
SARDAR PATEL MEDICAL COLLEGE,MBBS,EWS,8273.86,,2532,3117,4809,4809
SARDAR PATEL MEDICAL COLLEGE,MBBS,EWS PWD,465787.22,,412277,,469580,469580
SARDAR PATEL MEDICAL COLLEGE,MBBS,GN,13017.475,2705,2200,2161,2585,2585
SARDAR PATEL MEDICAL COLLEGE,MBBS,OBC,28534.015,,2406,2686,3636,3636
SARDAR PATEL MEDICAL COLLEGE,MBBS,OBC PWD,565609.81,,85893,466174,488017,488017
SARDAR PATEL MEDICAL COLLEGE,MBBS,SC,33344.76,24032,21041,26303,23128,23128
SARDAR PATEL MEDICAL COLLEGE,MBBS,ST,41956.91,36513,29033,32468,37258,37258
SATHYABAMA UNIV. Dental College and Hospt. Chennai,BDS,EWS,1001376.145,,566583,342746,858693,858693
SATHYABAMA UNIV. Dental College and Hospt. Chennai,BDS,GN,1077119.12,800556,499328,422796,1103211,1103211
SATHYABAMA UNIV. Dental College and Hospt. Chennai,BDS,OBC,1365206.395,,698309,1055611,1383470,1383470
SATHYABAMA UNIV. Dental College and Hospt. Chennai,BDS,SC,1350636.26,,388538,,1361654,1361654
SBKS Med. Inst. and Res. Centre,MBBS,EWS,555672.01,,244075,679479,587902,587902
SBKS Med. Inst. and Res. Centre,MBBS,GN,955184.205,644014,612739,724939,1121781,1121781
SBKS Med. Inst. and Res. Centre,MBBS,OBC,409058.415,,323979,650467,265846,265846
SBKS Med. Inst. and Res. Centre,MBBS,SC,945976.845,,,560255,991286,991286
SDU Medical College,MBBS,EWS,337163.315,,134016,190262,178506,178506
SDU Medical College,MBBS,GN,948202.335,437422,143668,846917,1121764,1121764
SDU Medical College,MBBS,OBC,1205022.1,,134764,539898,1387310,1387310
SDU Medical College,MBBS,SC,1182906.29,,,,1309701,1309701
SDU Medical College,MBBS,ST,1116163.95,,,159570,1330977,1330977
SETH G.S. MEDICAL COLLEGE,MBBS,EWS,36196.05,,1894,2086,3387,3387
SETH G.S. MEDICAL COLLEGE,MBBS,GN,45059.805,935,539,697,1010,1010
SETH G.S. MEDICAL COLLEGE,MBBS,GN PWD,229360.39,88062,105249,,185845,185845
SETH G.S. MEDICAL COLLEGE,MBBS,OBC,129907.915,,2182,2691,2163,2163
SETH G.S. MEDICAL COLLEGE,MBBS,OBC PWD,256186.49,,126474,231630,196142,196142
SETH G.S. MEDICAL COLLEGE,MBBS,SC,224299.67,10452,13796,18045,16607,16607
SETH G.S. MEDICAL COLLEGE,MBBS,ST,126158.76,26559,39832,56190,29866,29866
SH VASANT RAO NAIK GOVT.M.C.,MBBS,EWS,13311.78,,12172,14482,16483,16483
SH VASANT RAO NAIK GOVT.M.C.,MBBS,EWS PWD,388436.165,,,,322621,322621
SH VASANT RAO NAIK GOVT.M.C.,MBBS,GN,13027.87,11515,11389,13108,13794,13794
SH VASANT RAO NAIK GOVT.M.C.,MBBS,OBC,20502.295,,12895,13493,14685,14685
SH VASANT RAO NAIK GOVT.M.C.,MBBS,SC,80874.49,52729,69587,75581,85039,85039
SH VASANT RAO NAIK GOVT.M.C.,MBBS,ST,103835.685,86920,94410,112281,116131,116131
SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL,MBBS,EWS,14856.155,,,12421,14731,14731
SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL,MBBS,GN,11404.865,,,11435,11293,11293
SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL,MBBS,OBC,19864.07,,,13721,12778,12778
SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL,MBBS,SC,72251.035,,,73848,66416,66416
SHEIKH BHIKHARI MEDICAL COLLEGE & HOSPITAL,MBBS,ST,103008.725,,,100632,105027,105027
SHIMOGA INST. OF MEDICAL SCI.,MBBS,EWS,15583.675,,12137,15037,16090,16090
SHIMOGA INST. OF MEDICAL SCI.,MBBS,EWS PWD,641281.825,,,,901507,901507
SHIMOGA INST. OF MEDICAL SCI.,MBBS,GN,9996.09,8972,9776,10808,9163,9163
SHIMOGA INST. OF MEDICAL SCI.,MBBS,GN PWD,313573.855,220663,,,303007,303007
SHIMOGA INST. OF MEDICAL SCI.,MBBS,OBC,13092.52,,12474,13214,13238,13238
SHIMOGA INST. OF MEDICAL SCI.,MBBS,SC,76399.55,60879,65819,64944,79478,79478
SHIMOGA INST. OF MEDICAL SCI.,MBBS,SC PWD,649963.865,,,554671,610028,610028
SHIMOGA INST. OF MEDICAL SCI.,MBBS,ST,71369.27,61970,25855,77693,62370,62370
SHIMOGA INST. OF MEDICAL SCI.,MBBS,ST PWD,901666.505,,,,878708,878708
SHKM GMC,MBBS,EWS,14879.535,,10133,12968,13683,13683
SHKM GMC,MBBS,GN,9612.63,7161,8647,9924,9670,9670
SHKM GMC,MBBS,OBC,12636.625,,10451,12134,12610,12610
SHKM GMC,MBBS,OBC PWD,656779.075,,,512099,751381,751381
SHKM GMC,MBBS,SC,65111.025,45065,56197,64113,65487,65487
SHKM GMC,MBBS,ST,105886.05,70503,84043,94831,112689,112689
SHRI ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,EWS,14050.27,,,12804,12107,12107
SHRI ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,GN,8668.77,,,8884,8460,8460
SHRI ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,OBC,14634.205,,,11804,11488,11488
SHRI ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,SC,54142.2,,,63513,50111,50111
SHRI ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,ST,83952.2,,,96730,78756,78756
SHRI BHAUSAHEB HIRE GOVT. M.C.,MBBS,EWS,14759.295,,11696,14044,15894,15894
SHRI BHAUSAHEB HIRE GOVT. M.C.,MBBS,GN,9439.075,11175,10610,11771,11896,11896
SHRI BHAUSAHEB HIRE GOVT. M.C.,MBBS,OBC,13411.69,,12308,12846,13947,13947
SHRI BHAUSAHEB HIRE GOVT. M.C.,MBBS,SC,73039.01,59870,68835,74090,78348,78348
SHRI BHAUSAHEB HIRE GOVT. M.C.,MBBS,SC PWD,1018475.055,,,,1028453,1028453
SHRI BHAUSAHEB HIRE GOVT. M.C.,MBBS,ST,91885.76,87588,92537,104425,94665,94665
SHRI BHAUSAHEB HIRE GOVT. M.C.,MBBS,ST PWD,964564.625,,,,984561,984561
SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,MBBS,EWS,9461.98,,8323,6760,6783,6783
SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,MBBS,GN,7039.35,,5755,5960,6167,6167
SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,MBBS,OBC,9171.78,,6286,6652,7025,7025
SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,MBBS,OBC PWD,671687.13,,357611,,647815,647815
SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,MBBS,SC,48907.19,,43667,48310,44195,44195
SHRI KALYAN GOVT MEDICAL COLLEGE SIKAR,MBBS,ST,71713.205,,62518,63701,66724,66724
SILCHAR MEDICAL COLLEGE,MBBS,EWS,16662.445,,13485,14871,18234,18234
SILCHAR MEDICAL COLLEGE,MBBS,GN,16448.72,11420,11236,13096,14334,14334
SILCHAR MEDICAL COLLEGE,MBBS,OBC,18567.89,,13849,14988,15593,15593
SILCHAR MEDICAL COLLEGE,MBBS,OBC PWD,838976.37,,,859042,887069,887069
SILCHAR MEDICAL COLLEGE,MBBS,SC,67042.8,60046,70593,74877,58087,58087
SILCHAR MEDICAL COLLEGE,MBBS,SC PWD,1158422.335,665665,,,1219805,1219805
SILCHAR MEDICAL COLLEGE,MBBS,ST,89694.345,87665,88655,96975,99762,99762
SKIMS Medical College,MBBS,EWS,15206.995,,,12355,14193,14193
SKIMS Medical College,MBBS,GN,9225.95,,,8665,7498,7498
SKIMS Medical College,MBBS,OBC,14032.305,,,11622,13098,13098
SKIMS Medical College,MBBS,SC,76969.97,,,66643,74417,74417
SKIMS Medical College,MBBS,ST,59964.92,,,65592,49268,49268
SLBS Govt. Medical College,MBBS,EWS,32949.635,,65251,36985,32008,32008
SLBS Govt. Medical College,MBBS,GN,20715.875,,44691,23034,26331,26331
SLBS Govt. Medical College,MBBS,OBC,32370.365,,66499,43310,34551,34551
SLBS Govt. Medical College,MBBS,SC,149395.55,,161102,162755,160318,160318
SLBS Govt. Medical College,MBBS,ST,261544.015,,462722,85817,372773,372773
"SOBAN SINGH JEENA GOVERNMENT INSTITUTE OF MEDICAL SCIENCE &
RESEARCH",MBBS,EWS,17118.03,,,,,
"SOBAN SINGH JEENA GOVERNMENT INSTITUTE OF MEDICAL SCIENCE &
RESEARCH",MBBS,GN,12278.365,,,,,
"SOBAN SINGH JEENA GOVERNMENT INSTITUTE OF MEDICAL SCIENCE &
RESEARCH",MBBS,OBC,16862.695,,,,,
"SOBAN SINGH JEENA GOVERNMENT INSTITUTE OF MEDICAL SCIENCE &
RESEARCH",MBBS,SC,83597.895,,,,,
"SOBAN SINGH JEENA GOVERNMENT INSTITUTE OF MEDICAL SCIENCE &
RESEARCH",MBBS,ST,165480.48,,,,,
SRI KRISHNA MEDICAL COLLEGE,MBBS,EWS,24583.995,,8144,9605,12640,12640
SRI KRISHNA MEDICAL COLLEGE,MBBS,GN,24655.315,9028,7361,8304,9639,9639
SRI KRISHNA MEDICAL COLLEGE,MBBS,OBC,72034.795,,9223,9581,10048,10048
SRI KRISHNA MEDICAL COLLEGE,MBBS,OBC PWD,613476.935,,,,591909,591909
SRI KRISHNA MEDICAL COLLEGE,MBBS,SC,100204.555,52059,63161,60105,77729,77729
SRI KRISHNA MEDICAL COLLEGE,MBBS,ST,168724.41,73548,81261,99764,105329,105329
SRI LALITHAMBIGAI MEDICAL COLLEGE & HOSPITAL,MBBS,EWS,519431.41,,,663662,605560,605560
SRI LALITHAMBIGAI MEDICAL COLLEGE & HOSPITAL,MBBS,GN,751368.715,,763224,669486,617590,617590
SRI LALITHAMBIGAI MEDICAL COLLEGE & HOSPITAL,MBBS,OBC,1260115.57,,919741,670047,1391199,1391199
SRI LALITHAMBIGAI MEDICAL COLLEGE & HOSPITAL,MBBS,SC,586676.325,,898418,611759,613710,613710
SRI LALITHAMBIGAI MEDICAL COLLEGE & HOSPITAL,MBBS,ST,543514.46,,921029,464555,589013,589013
SRM Dental College,BDS,GN,893140.785,804452,760240,854631,870670,870670
SRM Dental College,BDS,OBC,895848.63,,921297,1051574,883250,883250
SRM Dental College,BDS,SC,889397.4,,860902,1037673,882914,882914
SRM Dental College,BDS,ST,732116.74,,288498,965666,693947,693947
SRM Katt. Dental College and Hospt. Chennai,BDS,EWS,968298.4,,,689505,974587,974587
SRM Katt. Dental College and Hospt. Chennai,BDS,GN,947464.45,,,771806,907428,907428
SRM Katt. Dental College and Hospt. Chennai,BDS,OBC,977255.76,,,983763,980273,980273
SRM Katt. Dental College and Hospt. Chennai,BDS,SC,957837.715,,,953831,957493,957493
SRM Katt. Dental College and Hospt. Chennai,BDS,ST,822398.345,,,592280,902899,902899
SRM Medical College and Hospital,MBBS,EWS,17023.17,,,541283,592075,592075
SRM Medical College and Hospital,MBBS,GN,938075.92,,,597218,1065799,1065799
SRM Medical College and Hospital,MBBS,OBC,677123.5,,,595247,631074,631074
SRM Medical College and Hospital,MBBS,SC,581747.86,,,578561,621289,621289
SRM Medical College and Hospital,MBBS,ST,529972.03,,,,565471,565471
STANLEY MEDICAL COLLEGE,MBBS,EWS,8161.8,,5939,7535,6986,6986
STANLEY MEDICAL COLLEGE,MBBS,GN,18697.635,2258,1219,1778,2121,2121
STANLEY MEDICAL COLLEGE,MBBS,OBC,92696.59,,2280,3192,2919,2919
STANLEY MEDICAL COLLEGE,MBBS,OBC PWD,492715.705,,,,457003,457003
STANLEY MEDICAL COLLEGE,MBBS,SC,159579.455,14715,22546,20136,15879,15879
STANLEY MEDICAL COLLEGE,MBBS,SC PWD,731400.215,,,736495,578758,578758
STANLEY MEDICAL COLLEGE,MBBS,ST,138792.785,55194,63142,72403,58707,58707
SUH Maulana Mahmood Hasan Medical College,MBBS,EWS,9688.05,,9033,10245,10559,10559
SUH Maulana Mahmood Hasan Medical College,MBBS,GN,12491.525,8707,8125,9005,7160,7160
SUH Maulana Mahmood Hasan Medical College,MBBS,OBC,31723.535,,9229,10073,11425,11425
SUH Maulana Mahmood Hasan Medical College,MBBS,SC,65971.375,52110,55601,60194,67467,67467
SUH Maulana Mahmood Hasan Medical College,MBBS,ST,106278.21,80828,71661,90998,103487,103487
SVIMS - Sri Padmavathi Medical College for Women,MBBS,EWS,17861.05,,14409,15757,18779,18779
SVIMS - Sri Padmavathi Medical College for Women,MBBS,GN,37691.58,10688,10786,13364,14517,14517
SVIMS - Sri Padmavathi Medical College for Women,MBBS,GN PWD,586990.77,397362,,570579,622979,622979
SVIMS - Sri Padmavathi Medical College for Women,MBBS,OBC,61299.085,,13808,14681,16852,16852
SVIMS - Sri Padmavathi Medical College for Women,MBBS,OBC PWD,745173.065,,,956715,784572,784572
SVIMS - Sri Padmavathi Medical College for Women,MBBS,SC,88466.66,63706,77009,80238,99906,99906
SVIMS - Sri Padmavathi Medical College for Women,MBBS,ST,113315.075,60614,92208,96149,115648,115648
SWAMI RAMANAND TiRTH RURAL M.C,MBBS,EWS,15373.2,,11904,14277,14802,14802
SWAMI RAMANAND TiRTH RURAL M.C,MBBS,GN,42470.625,11565,11628,12321,12112,12112
SWAMI RAMANAND TiRTH RURAL M.C,MBBS,OBC,77776.68,,12494,12756,13795,13795
SWAMI RAMANAND TiRTH RURAL M.C,MBBS,OBC PWD,803074.905,,412538,,848842,848842
SWAMI RAMANAND TiRTH RURAL M.C,MBBS,SC,84627.325,62324,68859,70528,83829,83829
SWAMI RAMANAND TiRTH RURAL M.C,MBBS,ST,113257.73,81738,96572,109946,113493,113493
SYMBIOSIS MEDICAL COLLEGE FOR WOMEN PUNE,MBBS,EWS,29986.435,,46807,56548,578578,578578
SYMBIOSIS MEDICAL COLLEGE FOR WOMEN PUNE,MBBS,GN,403986.635,657447,600639,593517,664001,664001
SYMBIOSIS MEDICAL COLLEGE FOR WOMEN PUNE,MBBS,OBC,351893.75,,45565,587570,416441,416441
Sagar Dutta Medical College & Hospital,MBBS,EWS,10798,,7493,8179,9498,9498
Sagar Dutta Medical College & Hospital,MBBS,GN,16648.545,6874,5921,6155,7347,7347
Sagar Dutta Medical College & Hospital,MBBS,OBC,84855.76,,7695,8019,9142,9142
Sagar Dutta Medical College & Hospital,MBBS,OBC PWD,698830.675,,,896872,670020,670020
Sagar Dutta Medical College & Hospital,MBBS,SC,57259.405,52636,40540,52045,52253,52253
