College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2023,Allotted_Rank_2024
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,ESM,52775,30359.0,33147.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,OPEN,29658,11700.0,18628.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,OPEN-EWS,52773,15236.0,33146.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,SC,52773,28709.0,33146.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,SEBC,29658,19327.0,18628.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",MECHANICAL ENGINEERING,ST,61711,921278.0,38760.0
"BIRLA VISHVAKARMA MAHA VIDHYALAYA(GIA), V.V.NAGAR",PRODUCTION ENGINEERING,OPEN,50026,28639.0,37851.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","ELECTRONICS & COMMUNICATION
ENGG.",OPEN,12521,8673.0,10421.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","ELECTRONICS & COMMUNICATION
ENGG.",OPEN-EWS,41731,11324.0,34731.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","ELECTRONICS & COMMUNICATION
ENGG.",SC,41731,28753.0,34731.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR","ELECTRONICS & COMMUNICATION
ENGG.",SEBC,12521,26444.0,10421.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,ESM,5687,5484.0,2330.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,OPEN,9080,1524.0,3720.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,OPEN - PH,9080,25292.0,3720.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,OPEN-EWS,26186,1692.0,10728.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,SC,26186,6257.0,10728.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,SEBC,9080,2856.0,3720.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",INFORMATION TECHNOLOGY,ST,88496,28483.0,36255.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",MECHANICAL ENGINEERING,OPEN,23345,18896.0,21003.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",MECHANICAL ENGINEERING,OPEN-EWS,38141,22300.0,34315.0
"BIRLA VISHVAKARMA MAHA VIDHYLAYA(SFI), V.V.NAGAR",MECHANICAL ENGINEERING,SEBC,23345,29314.0,21003.0
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",CIVIL ENGINEERING,OPEN,51370,29371.0,38843.0
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",COMPUTER ENGINEERING,OPEN,112694,12967.0,38227.0
"C. K. PITHAWALA COLLEGE OF ENGG. & TECH., SURAT",COMPUTER ENGINEERING,OPEN-EWS,112694,13879.0,38227.0
